Year,Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
2020,SeasonB,Kigali City,Gasabo,Irish potatoes,4.042735576629639,2474279.36,14632.9761883927,31
2020,SeasonB,Kigali City,Kicukiro,Beans,0.6944553256034851,14369.53,7268.300115064439,6
2020,SeasonB,Kigali City,Kicukiro,Cassava,0.03347182646393776,2640.0,4384.605474613618,18
2020,SeasonB,Kigali City,Kicukiro,Irish potatoes,0.3422510623931885,4392.22,8006.55089868306,2
2020,SeasonB,Kigali City,Nyarugenge,Beans,0.0724073275923729,14409.13,7671.042186815241,33
2020,SeasonB,Kigali City,Nyarugenge,Cassava,0.017450783401727676,1125.0,6796.640327555626,8
2020,SeasonB,Kigali City,Nyarugenge,Irish potatoes,0.31579136848449707,5500.0,17416.56216379457,1
2020,SeasonB,Northern Province,Burera,Beans,0.018519267439842224,5532.05,10861.660370537142,34
2020,SeasonB,Northern Province,Burera,Cassava,0.04925892874598503,3377.52,6848.308334873291,7
2020,SeasonB,Northern Province,Burera,Irish potatoes,0.12158383429050446,6301.22,12052.620303440961,4
2020,SeasonB,Northern Province,Gakenke,Beans,0.038446154445409775,5822.06,9820.300203167348,20
2020,SeasonB,Northern Province,Gakenke,Cassava,0.026969097554683685,11875.64,8857.872569154257,48
2020,SeasonB,Northern Province,Gakenke,Irish potatoes,0.03084632381796837,480.0,7727.768962013847,2
2020,SeasonB,Northern Province,Gicumbi,Beans,0.045391593128442764,19773.49,8489.83027209729,49
2020,SeasonB,Northern Province,Gicumbi,Cassava,0.03941543027758598,3663.32,9518.692552442491,8
2020,SeasonB,Northern Province,Gicumbi,Irish potatoes,0.03382541984319687,1113.23,6325.004289622967,5
2020,SeasonB,Northern Province,Musanze,Beans,0.06377571821212769,6577.780000000001,8130.88709000128,12
2020,SeasonB,Northern Province,Musanze,Cassava,0.022982388734817505,264.0,7256.258743619912,2
2020,SeasonB,Northern Province,Musanze,Irish potatoes,0.11792250722646713,8220.0,14755.775436728807,4
2020,SeasonB,Northern Province,Rulindo,Beans,0.042698539793491364,8315.19,8387.758934761938,16
2020,SeasonB,Northern Province,Rulindo,Cassava,0.017779506742954254,408.0,7383.46894478099,3
2020,SeasonB,Northern Province,Rulindo,Irish potatoes,0.8027178049087524,177084.29,15133.654943775877,8
2020,SeasonB,Southern Province,Gisagara,Beans,0.14458464086055756,5058.68,6413.660173694919,14
2020,SeasonB,Southern Province,Gisagara,Cassava,0.015749230980873108,2147.46,4151.748471813416,39
2020,SeasonB,Southern Province,Gisagara,Irish potatoes,0.27976280450820923,10640.91,7456.199550170646,5
2020,SeasonB,Southern Province,Huye,Beans,0.04740716144442558,3641.62,10185.094426431597,7
