Year,ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
2017,Southern Province,Nyanza,Maize,134535766.9430542,298673.479095459,480
2017,Southern Province,Nyanza,Tomatoes,0.0,0.0,480
2017,Southern Province,Nyaruguru,Beans,411013457.72132874,115564.36241912842,480
2017,Southern Province,Nyaruguru,Cassava,676839893.5985565,451545.1966018677,480
2017,Southern Province,Nyaruguru,Irish potatoes,7456479.644775391,10815.21078491211,480
2017,Southern Province,Nyaruguru,Maize,118784440.74382782,228596.82482147217,480
2017,Southern Province,Nyaruguru,Tomatoes,0.0,0.0,480
2017,Southern Province,Ruhango,Beans,430539356.0935974,151122.73209381104,480
2017,Southern Province,Ruhango,Cassava,659753168.5244751,512925.09658813477,480
2017,Southern Province,Ruhango,Irish potatoes,47084146.15859985,69874.23606872559,480
2017,Southern Province,Ruhango,Maize,125874089.20783997,269727.89543914795,480
2017,Southern Province,Ruhango,Tomatoes,3040315.350341797,1573.0772399902344,480
2017,Western Province,Karongi,Beans,490438348.0918884,155969.68041992188,480
2017,Western Province,Karongi,Cassava,905327724.8390198,560543.4012756348,480
2017,Western Province,Karongi,Irish potatoes,40511480.47027588,60267.78321838379,480
2017,Western Province,Karongi,Maize,181293503.364563,253852.44338989258,480
2017,Western Province,Karongi,Tomatoes,411597.33123779297,2083.0464477539062,480
2017,Western Province,Ngororero,Beans,418828710.6338501,171448.03704833984,480
2017,Western Province,Ngororero,Cassava,530961327.18963623,437631.9602508545,480
2017,Western Province,Ngororero,Irish potatoes,45313328.4362793,79947.16497802734,480
2017,Western Province,Ngororero,Maize,104822557.2102356,222867.42570495605,480
2017,Western Province,Ngororero,Tomatoes,491089.6911621094,140.31134033203125,480
2017,Western Province,Nyabihu,Beans,838965857.7212524,244608.97840881348,480
2017,Western Province,Nyabihu,Cassava,1549442324.5025635,709917.3798065186,480
2017,Western Province,Nyabihu,Irish potatoes,60927060.56213379,56206.699478149414,480
2017,Western Province,Nyabihu,Maize,222129450.45089722,363008.4653930664,480
2017,Western Province,Nyabihu,Tomatoes,2259952.2583007812,1900.274658203125,480
2017,Western Province,Nyamasheke,Beans,654063788.5421753,277961.4470214844,480
2017,Western Province,Nyamasheke,Cassava,1068038879.2106628,740600.2683868408,480
2017,Western Province,Nyamasheke,Irish potatoes,69872234.14154053,96632.18823242188,480
2017,Western Province,Nyamasheke,Maize,176356506.46972656,425006.9777832031,480
2017,Western Province,Nyamasheke,Tomatoes,2622801.580810547,159.9269256591797,480
2017,Western Province,Rubavu,Beans,403660450.9666443,196426.89221954346,480
2017,Western Province,Rubavu,Cassava,743198711.3488007,545749.174873352,480
2017,Western Province,Rubavu,Irish potatoes,31689269.230651855,61775.84996795654,480
2017,Western Province,Rubavu,Maize,91623049.04052734,282298.77418518066,480
2017,Western Province,Rubavu,Tomatoes,0.0,0.0,480
2017,Western Province,Rusizi,Beans,437508264.0815735,141796.7660369873,480
2017,Western Province,Rusizi,Cassava,761011338.6473083,525877.5553207397,480
2017,Western Province,Rusizi,Irish potatoes,36487289.8727417,75172.24326324463,480
2017,Western Province,Rusizi,Maize,134723059.2147827,254893.23902130127,480
2017,Western Province,Rusizi,Tomatoes,0.0,0.0,480
2017,Western Province,Rutsiro,Beans,672652634.9708557,214533.9973640442,480
2017,Western Province,Rutsiro,Cassava,832687479.5440674,543623.4648513794,480
2017,Western Province,Rutsiro,Irish potatoes,74650602.90145874,64136.09936904907,480
2017,Western Province,Rutsiro,Maize,156172754.7580719,298954.39894104004,480
2017,Western Province,Rutsiro,Tomatoes,0.0,0.0,480
2017,Eastern Province,Bugesera,Beans,25827576.815128326,12047.538759231567,27
2017,Eastern Province,Bugesera,Cassava,34063903.24831009,30414.054944992065,27
2017,Eastern Province,Bugesera,Irish potatoes,3890563.980102539,2047.6652526855469,27
2017,Eastern Province,Bugesera,Maize,6174060.220146179,13705.764560699463,27
2017,Eastern Province,Bugesera,Tomatoes,0.0,0.0,27
2017,Eastern Province,Gatsibo,Beans,18180068.084716797,8893.351439476013,22
2017,Eastern Province,Gatsibo,Cassava,16959506.727695465,18060.987434387207,22
2017,Eastern Province,Gatsibo,Irish potatoes,3557908.7705612183,4758.6323919296265,22
2017,Eastern Province,Gatsibo,Maize,2772422.116279602,7986.028537750244,22
2017,Eastern Province,Gatsibo,Tomatoes,0.0,0.0,22
2017,Eastern Province,Kayonza,Beans,20596185.104370117,10512.805498123169,44
2017,Eastern Province,Kayonza,Cassava,24969265.815639496,25180.291937828064,44
2017,Eastern Province,Kayonza,Irish potatoes,2538342.6036834717,2945.869779586792,44
2017,Eastern Province,Kayonza,Maize,6132248.694133759,12448.96348953247,44
2017,Eastern Province,Kayonza,Tomatoes,0.0,0.0,44
2017,Eastern Province,Kirehe,Beans,32781583.094882965,8484.957538843155,28
2017,Eastern Province,Kirehe,Cassava,36271059.32711601,26822.56282734871,28
2017,Eastern Province,Kirehe,Irish potatoes,740716.2633895874,1706.1450605392456,28
2017,Eastern Province,Kirehe,Maize,8011875.237131119,16682.901460886,28
2017,Eastern Province,Kirehe,Tomatoes,0.0,0.0,28
2017,Eastern Province,Ngoma,Beans,19878392.037391663,5554.805715084076,39
2017,Eastern Province,Ngoma,Cassava,24689250.26922226,16269.73347902298,39
2017,Eastern Province,Ngoma,Irish potatoes,550700.9492874146,1748.6581535339355,39
2017,Eastern Province,Ngoma,Maize,4192593.5044050217,7503.148499488831,39
2017,Eastern Province,Ngoma,Tomatoes,0.0,0.0,39
2017,Eastern Province,Nyagatare,Beans,12182862.044143677,5465.712755680084,41
2017,Eastern Province,Nyagatare,Cassava,10978853.505134583,10242.437217235565,41
2017,Eastern Province,Nyagatare,Irish potatoes,1082057.466506958,2286.229091644287,41
2017,Eastern Province,Nyagatare,Maize,2500432.608938217,6195.608489990234,41
2017,Eastern Province,Nyagatare,Tomatoes,0.0,0.0,41
2017,Eastern Province,Rwamagana,Beans,8777988.276863098,5286.205015182495,34
2017,Eastern Province,Rwamagana,Cassava,39405214.20993805,13684.17575931549,34
2017,Eastern Province,Rwamagana,Irish potatoes,1232628.5028457642,1892.5898265838623,34
2017,Eastern Province,Rwamagana,Maize,3737542.2451019287,8493.58277130127,34
2017,Eastern Province,Rwamagana,Tomatoes,0.0,0.0,34
2017,Kigali City,Gasabo,Beans,29344522.97565937,9733.373685717583,131
2017,Kigali City,Gasabo,Cassava,46630713.909971714,29857.632809519768,131
2017,Kigali City,Gasabo,Irish potatoes,4582850.45838356,3296.869248867035,131
2017,Kigali City,Gasabo,Maize,7324951.949132681,14418.429797887802,131
2017,Kigali City,Gasabo,Tomatoes,0.0,0.0,131
2017,Kigali City,Kicukiro,Beans,13540323.453217745,3375.328310996294,132
2017,Kigali City,Kicukiro,Cassava,28155034.92667675,10894.870597183704,132
2017,Kigali City,Kicukiro,Irish potatoes,349752.2580862045,689.7806817293167,132
2017,Kigali City,Kicukiro,Maize,3910030.8146476746,5754.741423845291,132
2017,Kigali City,Kicukiro,Tomatoes,845.8781540393829,1.1278375387191772,132
2017,Kigali City,Nyarugenge,Beans,5747096.901369095,1981.9285411834717,61
2017,Kigali City,Nyarugenge,Cassava,13879373.311316967,8638.959847688675,61
2017,Kigali City,Nyarugenge,Irish potatoes,47702.80957221985,133.56786680221558,61
2017,Kigali City,Nyarugenge,Maize,4766304.224938154,5956.451219081879,61
2017,Kigali City,Nyarugenge,Tomatoes,0.0,0.0,61
2017,Northern Province,Burera,Beans,13600145.551490784,5942.427447319031,57
2017,Northern Province,Burera,Cassava,16424079.645562172,16373.08686876297,57
2017,Northern Province,Burera,Irish potatoes,186528.79858016968,489.68081045150757,57
2017,Northern Province,Burera,Maize,3362950.7802248,10572.861173152924,57
2017,Northern Province,Burera,Tomatoes,0.0,0.0,57
2017,Northern Province,Gakenke,Beans,18005924.834918976,15147.721725463867,82
2017,Northern Province,Gakenke,Cassava,37223350.626182556,37624.88738822937,82
2017,Northern Province,Gakenke,Irish potatoes,1271289.8058891296,3832.1631565093994,82
2017,Northern Province,Gakenke,Maize,5962711.823940277,18422.994598388672,82
2017,Northern Province,Gakenke,Tomatoes,0.0,0.0,82
2017,Northern Province,Gicumbi,Beans,30481390.797185898,12599.348977088928,48
2017,Northern Province,Gicumbi,Cassava,56647086.5840435,32065.912649154663,48
2017,Northern Province,Gicumbi,Irish potatoes,5697957.930278778,4441.0951561927795,48
