Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
SeasonC,Northern Province,Unknown District,Beans,0.1186828131923077,247501.0,7629.213904442216,286
SeasonC,Northern Province,Unknown District,Cassava,0.07939655472,562.0,505.15071185226236,15
SeasonC,Northern Province,Unknown District,Irish potatoes,0.12117324135,31.0,403.13686068501676,2
SeasonC,Northern Province,Unknown District,Tomatoes,0.05022874204285715,127.0,412.5018415926805,7
SeasonC,Southern Province,Gisagara,Beans,0.09846170251428572,10917.0,4657.960699940613,42
SeasonC,Southern Province,Gisagara,Cassava,0.09703231626590908,1564.0,370.9776528332093,44
SeasonC,Southern Province,Gisagara,Tomatoes,0.06755881686666666,103.0,184.75142724063983,6
SeasonC,Southern Province,Huye,Beans,0.05357738178541666,11998.0,7029.731892661163,48
SeasonC,Southern Province,Huye,Cassava,0.04957911609473684,571.0,832.9721864800604,19
SeasonC,Southern Province,Huye,Tomatoes,0.0208026382,7.0,336.4957815783192,1
SeasonC,Southern Province,Muhanga,Beans,0.04758833475434783,8322.0,4995.710114361813,46
SeasonC,Southern Province,Muhanga,Cassava,0.042610922999999995,345.0,693.0461886394648,13
SeasonC,Southern Province,Muhanga,Tomatoes,0.027541852244444446,192.0,681.937372182201,9
SeasonC,Southern Province,Nyamagabe,Beans,0.05980103659622642,14177.0,4364.461970745245,53
SeasonC,Southern Province,Nyamagabe,Cassava,0.04048033999,254.0,812.1933103460403,10
SeasonC,Southern Province,Nyamagabe,Tomatoes,0.03415637335,27.0,378.6925978542671,2
SeasonC,Southern Province,Nyanza,Beans,0.11164324776000001,2914.0,2359.966632161469,20
SeasonC,Southern Province,Nyanza,Cassava,0.04970477397142857,304.0,515.3379760716268,14
SeasonC,Southern Province,Nyanza,Irish potatoes,0.0609044462,31.0,508.99403794266834,1
SeasonC,Southern Province,Nyanza,Tomatoes,0.19488493794,970.0,975.7396338739396,5
SeasonC,Southern Province,Nyaruguru,Beans,0.029525702134146337,7409.0,6993.944643310742,41
SeasonC,Southern Province,Nyaruguru,Cassava,0.06345611715789473,704.0,491.05485635913857,19
SeasonC,Southern Province,Nyaruguru,Tomatoes,0.011459277799999999,2.0,174.5310686158599,1
SeasonC,Southern Province,Ruhango,Beans,0.04523641859555556,7267.0,4174.738851342712,45
SeasonC,Southern Province,Ruhango,Cassava,0.030805322311111112,127.0,532.1661413529221,9
SeasonC,Southern Province,Unknown District,Beans,0.063158634332,6088.0,5858.791481009065,25
SeasonC,Southern Province,Unknown District,Cassava,0.08905425574615385,913.0,815.6117520392665,13
SeasonC,Southern Province,Unknown District,Tomatoes,0.026192014366666665,58.0,543.7559172998804,3
SeasonC,Western Province,Unknown District,Beans,0.1381032841862069,180085.0,6315.932103341752,203
SeasonC,Western Province,Unknown District,Cassava,0.05072907179333333,170.0,282.4360956998149,15
SeasonC,Western Province,Unknown District,Irish potatoes,0.17573795250000002,46.0,167.30076379270886,2
SeasonC,Western Province,Unknown District,Tomatoes,0.13115189222857143,502.0,634.6234501382681,7
